Gender,Teacher,Period,Student ID,Gender,Ethnicity,Economic,LEP,SCICOUR,CTE,TOT,BIO,ELA,Alg,GPA,TOSLS1,TOSLS2,TOSLS3,TOSLS4,TOSLS5,TOSLS6,TOSLS7,TOSLS8,TOSLS9,TOSLSTOT,BRAINS1,BRAINS2,BRAINS3,BRAINS4,BRAINS5,BRAINSTOT,SORT
M,Howell,4,39634,1,5,1,1,2.5,1,3.5,61,60,65,2.26,0,3,0,1,1,1,1,1,1,9,15,4,25,5,2,51,0
F,Nyholm,5,40738,0,5,1,1,2.5,0.5,3,87,74,61,2.865,2,1,1,1,1,0,1,0,1,8,12,11,25,13,3,64,0
,,,49153,0,4,89,24,2.4,0.76,,81,81,80,3.367,1.9177,2.1222,1.6658,1.9202,0.3716,2.2519,1.5835,1.1521,1.0324,14.01746,14.5623,11.7848,25.0171,16.1858,5.12469,72.67482,
,,,ID,FEMALE,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Howell,7,56595,,,,,,,,,,,,,,,,,,,,,,12,9,17,12,3,53,23
,Lewis,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Howell,4,,,,,,,,,,,,,,,,,,,,,,,6,10,26,11,0,53,22
F,Howell,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
M,Frederiksen,6,,,,,,,,,,,,,0,2,1,3,1,1,0,1,0,9,10,5,19,17,4,55,14
F,Howell,6,,,,,,,,,,,,,2,1,1,1,1,3,1,0,1,11,7,7,24,10,1,49,14
M,Howell,4,,,,,,,,,,,,,3,3,3,3,1,3,3,1,0,20,16,17,21,21,7,82,14
F,Howell,6,,,,,,,,,,,,,3,1,2,2,1,2,0,1,1,13,6,0,27,7,0,40,14
M,Howell,7,,,,,,,,,,,,,0,3,2,2,1,0,1,1,2,12,5,4,6,8,0,23,14
M,Howell,6,,,,,,,,,,,,,1,2,0,0,0,0,0,1,0,4,6,4,21,8,0,39,14
M,Howell,4,,,,,,,,,,,,,1,2,0,2,1,2,1,0,1,10,13,12,23,18,3,69,14
M,Howell,4,,,,,,,,,,,,,1,2,0,1,1,0,0,1,0,6,11,8,23,18,2,62,14
F,Howell,6,,,,,,,,,,,,,2,2,3,3,0,3,1,1,2,17,17,11,26,17,11,82,14
M,Howell,6,,,,,,,,,,,,,1,0,2,2,1,1,0,1,0,8,14,8,24,13,5,64,14
M,Howell,2,,,,,,,,,,,,,3,2,0,0,0,2,3,2,1,13,16,11,23,17,3,70,14
M,Howell,6,,,,,,,,,,,,,0,1,1,1,0,2,1,1,1,8,18,18,27,18,9,90,14
M,Howell,4,,,,,,,,,,,,,2,1,1,3,1,4,2,1,1,16,22,18,25,23,8,96,14
M,Howell,4,,,,,,,,,,,,,2,1,2,0,0,0,0,0,0,5,9,5,21,11,5,51,14
F,Howell,6,,,,,,,,,,,,,2,1,1,1,0,1,0,0,1,7,16,4,27,8,0,55,14
F,Lehmann,3,,,,,,,,,,,,,3,3,2,3,0,3,2,0,1,17,6,3,26,3,2,40,14
M,Marshall,3,,,,,,,,,,,,,,,,,,,,,,,15,7,26,19,0,67,23
F,Robissa,8,,,,,,,,,,,,,,,,,,,,,,,20,16,22,14,5,77,23
F,Frederiksen,1,,,,,,,,,,,,,,,,,,,,,,,5,2,23,12,3,45,24
M,Frederiksen,7,,,,,,,,,,,,,,,,,,,,,,,9,13,29,8,2,61,24
M,Frederiksen,7,,,,,,,,,,,,,,,,,,,,,,,24,22,28,21,6,101,24
M,Frederiksen,7,,,,,,,,,,,,,,,,,,,,,,,18,21,18,23,5,85,24
F,Frederiksen,1,,,,,,,,,,,,,,,,,,,,,,,6,1,27,11,0,45,24
F,Marshall,6,,,,,,,,,,,,,,,,,,,,,,,19,10,32,17,9,87,24
F,Marshall,2,,,,,,,,,,,,,,,,,,,,,,,19,18,30,21,6,94,24
F,Marshall,3,,,,,,,,,,,,,,,,,,,,,,,10,11,20,12,5,58,24
M,Marshall,3,,,,,,,,,,,,,,,,,,,,,,,19,4,26,19,4,72,24
M,Marshall,2,,,,,,,,,,,,,,,,,,,,,,,15,14,19,16,8,72,24
M,Marshall,2,,,,,,,,,,,,,,,,,,,,,,,17,16,22,17,0,72,24
F,Robissa,4,,,,,,,,,,,,,,,,,,,,,,,18,22,21,16,6,83,24
F,Robissa,4,,,,,,,,,,,,,,,,,,,,,,,18,17,26,20,6,87,24
